infectives,removed,susceptibles
108723.71428571429,2363395.4285714286,81851643.85714285
107906.71428571429,2372516.0,81843340.28571428
108255.85714285714,2380514.5714285714,81834992.57142857
108714.14285714286,2388422.1428571427,81826626.71428572
109493.57142857143,2396357.714285714,81817911.71428572
110637.85714285714,2404250.4285714286,81808874.71428572
112866.28571428571,2411504.285714286,81799392.42857143
114723.0,2419513.714285714,81789526.28571428
116769.0,2427561.4285714286,81779432.57142857
118922.57142857143,2435677.0,81769163.42857143
122849.28571428571,2442632.1428571427,81758281.57142857
125961.14285714286,2450851.8571428573,81746950.0
129629.57142857143,2459179.0,81734954.42857143
133079.0,2468205.0,81722479.0
137546.57142857142,2476633.285714286,81709583.14285715
141901.0,2485332.5714285714,81696529.42857143
146254.85714285713,2494318.8571428573,81683189.28571428
149422.85714285713,2504830.714285714,81669509.42857143
154229.42857142858,2514440.1428571427,81655093.42857143
159288.57142857142,2524381.4285714286,81640093.0
164763.0,2534541.5714285714,81624458.42857143
170387.14285714287,2545043.8571428573,81608332.0
176046.42857142858,2555820.0,81591896.57142857
181650.85714285713,2566945.8571428573,81575166.28571428
187019.2857142857,2578484.5714285714,81558259.14285715
192509.0,2590136.714285714,81541117.28571428
197442.42857142858,2602390.1428571427,81523930.42857143
201772.14285714287,2614912.5714285714,81507078.28571428
205351.0,2627474.4285714286,81490937.57142857
210257.7142857143,2638512.0,81474993.28571428
214347.14285714287,2649986.285714286,81459429.57142857
214611.85714285713,2664231.8571428573,81444919.28571428
215788.2857142857,2677009.5714285714,81430965.14285715
217449.2857142857,2689813.5714285714,81416500.14285715
219263.42857142858,2703317.0,81401182.57142857
219993.7142857143,2718712.714285714,81385056.57142857
219343.85714285713,2736166.8571428573,81368252.28571428
219042.7142857143,2753833.0,81350887.28571428
222651.85714285713,2769305.4285714286,81331805.71428572
227474.14285714287,2784853.1428571427,81311435.71428572
232188.7142857143,2800561.0,81291013.28571428
235822.42857142858,2817307.8571428573,81270632.71428572
241477.14285714287,2832223.714285714,81250062.14285715
246771.7142857143,2847241.4285714286,81229749.85714285
251757.14285714287,2862396.714285714,81209609.14285715
256711.42857142858,2878039.0,81189012.57142857
261526.57142857142,2893833.5714285714,81168402.85714285
265958.0,2910256.4285714286,81147548.57142857
269616.71428571426,2927393.1428571427,81126753.14285715
272596.14285714284,2945150.285714286,81106016.57142857
274881.5714285714,2963668.5714285714,81085212.85714285
277148.4285714286,2982400.714285714,81064213.85714285
281290.4285714286,2998878.714285714,81043593.85714285
282220.0,3017886.0,81023657.0
282606.0,3036977.714285714,81004179.28571428
283753.0,3054671.714285714,80985338.28571428
282863.85714285716,3074047.1428571427,80966852.0
284454.5714285714,3090550.285714286,80948758.14285715
285492.0,3107115.0,80931156.0
280542.28571428574,3129067.285714286,80914153.42857143
275147.0,3151067.5714285714,80897548.42857143
271551.4285714286,3170433.285714286,80881778.28571428
267275.0,3190015.5714285714,80866472.42857143
262497.0,3209580.285714286,80851685.71428572
257465.0,3229079.285714286,80837218.71428572
249247.7142857143,3251562.285714286,80822953.0
246427.85714285713,3268201.4285714286,80809133.71428572
241114.85714285713,3286686.0,80795962.14285715
232822.57142857142,3307128.5714285714,80783811.85714285
224796.0,3326192.4285714286,80772774.57142857
218028.0,3343404.0,80762331.0
208854.2857142857,3362805.5714285714,80752103.14285715
202732.85714285713,3378881.1428571427,80742149.0
193965.0,3397050.4285714286,80732747.57142857
187041.42857142858,3412643.8571428573,80724077.71428572
180004.57142857142,3427983.8571428573,80715774.57142857
172867.0,3443308.5714285714,80707587.42857143
165789.85714285713,3458317.714285714,80699655.42857143
158552.85714285713,3473096.714285714,80692113.42857143
151724.42857142858,3487138.8571428573,80684899.71428572
144333.14285714287,3500541.8571428573,80678888.0
136900.85714285713,3513130.8571428573,80673731.28571428
129957.85714285714,3525032.1428571427,80668773.0
122957.85714285714,3536753.8571428573,80664051.28571428
116008.42857142857,3548016.1428571427,80659738.42857143
109618.0,3558618.8571428573,80655526.14285715
103636.71428571429,3568794.4285714286,80651331.85714285
98498.57142857143,3578454.1428571427,80646810.28571428
93649.0,3587586.285714286,80642527.71428572
88465.28571428571,3596450.4285714286,80638847.28571428
83214.28571428571,3604934.4285714286,80635614.28571428
78393.28571428571,3612786.714285714,80632583.0
73867.0,3620221.285714286,80629674.71428572
69696.71428571429,3627216.8571428573,80626849.42857143
65856.28571428571,3633645.0,80624261.71428572
62094.28571428572,3639787.1428571427,80621881.57142857
58542.142857142855,3645615.8571428573,80619605.0
55018.57142857143,3651361.285714286,80617383.14285715
51397.142857142855,3657068.714285714,80615297.14285715
48196.28571428572,3662274.4285714286,80613292.28571428
45361.857142857145,3667034.8571428573,80611366.28571428
42577.57142857143,3671488.1428571427,80609697.28571428
39685.0,3675784.4285714286,80608293.57142857
37044.857142857145,3679633.4285714286,80607084.71428572
34587.142857142855,3683185.285714286,80605990.57142857
32265.85714285714,3686508.285714286,80604988.85714285
30232.714285714286,3689514.1428571427,80604016.14285715
28429.428571428572,3692262.0,80603071.57142857
26517.14285714286,3695056.1428571427,80602189.71428572
24690.571428571428,3697718.5714285714,80601353.85714285
22980.714285714286,3700221.1428571427,80600561.14285715
21308.714285714286,3702612.1428571427,80599842.14285715
19794.428571428572,3704802.0,80599166.57142857
18302.285714285714,3706951.5714285714,80598509.14285715
17058.571428571428,3708845.4285714286,80597859.0
16063.0,3710461.4285714286,80597238.57142857
15353.714285714286,3711774.5714285714,80596634.71428572
