date,Ic,Inew,R,D,R_4_SIR,I_4_SIR,S_4_SIR
2021-03-01,2422978.5714285714,8020.0,1379373.857142857,69391.42857142857,1448765.2857142857,974213.2857142857,81900784.42857143
2021-03-02,2431007.1428571427,8028.571428571428,1386274.4285714286,69697.85714285714,1455972.2857142857,975034.8571428572,81892755.85714285
2021-03-03,2439180.285714286,8173.142857142857,1393197.857142857,70003.71428571429,1463201.5714285714,975978.7142857143,81884582.71428572
2021-03-04,2447359.5714285714,8179.285714285715,1400147.857142857,70305.85714285714,1470453.7142857143,976905.8571428572,81876403.42857143
2021-03-05,2455622.1428571427,8262.57142857143,1407017.2857142857,70589.42857142857,1477606.7142857143,978015.4285714285,81868140.85714285
2021-03-06,2463855.4285714286,8233.285714285714,1413992.0,70863.14285714286,1484855.142857143,979000.2857142857,81859907.57142857
2021-03-07,2472119.1428571427,8263.714285714286,1421002.4285714286,71128.14285714286,1492130.5714285714,979988.5714285715,81851643.85714285
2021-03-08,2480422.714285714,8303.57142857143,1428061.857142857,71389.42857142857,1499451.2857142857,980971.4285714285,81843340.28571428
2021-03-09,2488770.4285714286,8347.714285714286,1435192.4285714286,71636.0,1506828.4285714286,981942.0,81834992.57142857
2021-03-10,2497136.285714286,8365.857142857143,1442414.0,71865.71428571429,1514279.7142857143,982856.5714285715,81826626.71428572
2021-03-11,2505851.285714286,8715.0,1449588.4285714286,72090.0,1521678.4285714286,984172.8571428572,81817911.71428572
2021-03-12,2514888.285714286,9037.0,1456671.2857142857,72312.57142857143,1528983.857142857,985904.4285714285,81808874.71428572
2021-03-13,2524370.5714285714,9482.285714285714,1463788.7142857143,72526.42857142857,1536315.142857143,988055.4285714285,81799392.42857143
2021-03-14,2534236.714285714,9866.142857142857,1470973.0,72736.57142857143,1543709.5714285714,990527.1428571428,81789526.28571428
2021-03-15,2544330.4285714286,10093.714285714286,1478108.857142857,72948.57142857143,1551057.4285714286,993273.0,81779432.57142857
2021-03-16,2554599.5714285714,10269.142857142857,1485194.7142857143,73158.14285714286,1558352.857142857,996246.7142857143,81769163.42857143
2021-03-17,2565481.4285714286,10881.857142857143,1492308.0,73360.42857142857,1565668.4285714286,999813.0,81758281.57142857
2021-03-18,2576813.0,11331.57142857143,1499479.142857143,73549.28571428571,1573028.4285714286,1003784.5714285715,81746950.0
2021-03-19,2588808.5714285714,11995.57142857143,1506780.0,73734.42857142857,1580514.4285714286,1008294.1428571428,81734954.42857143
2021-03-20,2601284.0,12475.42857142857,1514126.7142857143,73915.0,1588041.7142857143,1013242.2857142857,81722479.0
2021-03-21,2614179.8571428573,12895.857142857143,1521359.7142857143,74099.71428571429,1595459.4285714286,1018720.4285714285,81709583.14285715
2021-03-22,2627233.5714285714,13053.714285714286,1528552.2857142857,74284.85714285714,1602837.142857143,1024396.4285714285,81696529.42857143
