date,Ic,Inew,R,D,R_4_SIR,I_4_SIR,S_4_SIR
2021-03-01,2887077.8571428573,17072.571428571428,3630.8571428571427,97195.14285714286,100826.0,2786251.8571428573,57740420.14285714
2021-03-02,2904688.1428571427,17610.285714285714,3680.8571428571427,97472.28571428571,101153.14285714286,2803535.0,57722809.85714286
2021-03-03,2922932.4285714286,18244.285714285714,3748.0,97753.57142857143,101501.57142857143,2821430.8571428573,57704565.571428575
2021-03-04,2941601.5714285714,18669.14285714286,3792.4285714285716,98039.28571428571,101831.71428571429,2839769.8571428573,57685896.428571425
2021-03-05,2960773.8571428573,19172.285714285714,3812.8571428571427,98331.28571428571,102144.14285714286,2858629.714285714,57666724.14285714
2021-03-06,2980622.0,19848.14285714286,3833.285714285714,98627.14285714286,102460.42857142857,2878161.5714285714,57646876.0
2021-03-07,3000939.285714286,20317.285714285714,3853.714285714286,98925.14285714286,102778.85714285714,2898160.4285714286,57626558.71428572
2021-03-08,3021367.4285714286,20428.14285714286,3875.714285714286,99233.42857142857,103109.14285714286,2918258.285714286,57606130.571428575
2021-03-09,3042175.8571428573,20808.428571428572,3897.714285714286,99546.42857142857,103444.14285714286,2938731.714285714,57585322.14285714
2021-03-10,3063189.285714286,21013.428571428572,3902.5714285714284,99857.28571428571,103759.85714285714,2959429.4285714286,57564308.71428572
2021-03-11,3084603.285714286,21414.0,3907.4285714285716,100173.0,104080.42857142857,2980522.8571428573,57542894.71428572
2021-03-12,3106414.4285714286,21811.14285714286,3912.285714285714,100500.57142857143,104412.85714285714,3002001.5714285714,57521083.571428575
2021-03-13,3128568.1428571427,22153.714285714286,3917.1428571428573,100829.57142857143,104746.71428571429,3023821.4285714286,57498929.85714286
2021-03-14,3150804.714285714,22236.571428571428,3922.0,101166.71428571429,105088.71428571429,3045716.0,57476693.28571428
2021-03-15,3173237.0,22432.285714285714,3922.0,101509.0,105431.0,3067806.0,57454261.0
2021-03-16,3195762.285714286,22525.285714285714,3922.0,101869.28571428571,105791.28571428571,3089971.0,57431735.71428572
