date,Ic,Inew,R,D,R_4_SIR,I_4_SIR,S_4_SIR
2021-03-01,3183211.1428571427,7222.857142857143,7447.571428571428,68913.57142857143,76361.14285714286,3106850.0,43289033.85714286
2021-03-02,3178747.1428571427,-4464.0,7455.857142857143,69159.57142857143,76615.42857142857,3102131.714285714,43293497.85714286
2021-03-03,3173843.8571428573,-4903.285714285715,7463.571428571428,69413.71428571429,76877.28571428571,3096966.5714285714,43298401.14285714
2021-03-04,3168436.1428571427,-5407.714285714285,7470.857142857143,69654.85714285714,77125.71428571429,3091310.4285714286,43303808.85714286
2021-03-05,3162787.4285714286,-5648.714285714285,7477.285714285715,69940.0,77417.28571428571,3085370.1428571427,43309457.571428575
2021-03-06,3157138.714285714,-5648.714285714285,7482.857142857143,70225.14285714286,77708.0,3079430.714285714,43315106.28571428
2021-03-07,3151490.0,-5648.714285714285,7487.571428571428,70510.28571428571,77997.85714285714,3073492.1428571427,43320755.0
2021-03-08,3145267.0,-6223.0,7491.714285714285,70771.28571428571,78263.0,3067004.0,43326978.0
2021-03-09,3150238.1428571427,4971.142857142857,7494.857142857143,71046.42857142857,78541.28571428571,3071696.8571428573,43322006.85714286
2021-03-10,3155349.5714285714,5111.428571428572,7498.285714285715,71291.28571428571,78789.57142857143,3076560.0,43316895.428571425
2021-03-11,3160492.1428571427,5142.571428571428,7503.428571428572,71517.57142857143,79021.0,3081471.1428571427,43311752.85714286
2021-03-12,3165448.1428571427,4956.0,7508.571428571428,71677.57142857143,79186.14285714286,3086262.0,43306796.85714286
2021-03-13,3170404.1428571427,4956.0,7512.857142857143,71837.57142857143,79350.42857142857,3091053.714285714,43301840.85714286
2021-03-14,3175360.1428571427,4956.0,7517.428571428572,71997.57142857143,79515.0,3095845.1428571427,43296884.85714286
2021-03-15,3180230.4285714286,4870.285714285715,7523.0,72138.71428571429,79661.71428571429,3100568.714285714,43292014.571428575
2021-03-16,3185236.4285714286,5006.0,7528.857142857143,72258.42857142857,79787.28571428571,3105449.1428571427,43287008.571428575
2021-03-17,3190095.714285714,4859.285714285715,7534.142857142857,72377.28571428571,79911.42857142857,3110184.285714286,43282149.28571428
2021-03-18,3194949.4285714286,4853.714285714285,7537.857142857143,72495.14285714286,80033.0,3114916.4285714286,43277295.571428575
2021-03-19,3199039.1428571427,4089.714285714286,7541.571428571428,72588.28571428571,80129.85714285714,3118909.285714286,43273205.85714286
2021-03-20,3203128.8571428573,4089.714285714286,7545.285714285715,72681.42857142857,80226.71428571429,3122902.1428571427,43269116.14285714
2021-03-21,3207218.5714285714,4089.714285714286,7549.571428571428,72774.57142857143,80324.14285714286,3126894.4285714286,43265026.428571425
2021-03-22,3212038.714285714,4820.142857142857,7553.714285714285,72934.42857142857,80488.14285714286,3131550.5714285714,43260206.28571428
2021-03-23,3216938.0,4899.285714285715,7557.857142857143,73102.85714285714,80660.71428571429,3136277.285714286,43255307.0
2021-03-24,3220967.0,4029.0,7562.0,73238.71428571429,80800.71428571429,3140166.285714286,43251278.0
2021-03-25,3226025.0,5058.0,7565.857142857143,73454.42857142857,81020.28571428571,3145004.714285714,43246220.0
2021-03-26,3232166.714285714,6141.714285714285,7570.0,73754.42857142857,81324.42857142857,3150842.285714286,43240078.28571428
2021-03-27,3238308.4285714286,6141.714285714285,7575.285714285715,74054.42857142857,81629.71428571429,3156678.714285714,43233936.571428575
2021-03-28,3244450.1428571427,6141.714285714285,7580.142857142857,74354.42857142857,81934.57142857143,3162515.5714285714,43227794.85714286
2021-03-29,3250453.285714286,6003.142857142857,7584.142857142857,74591.0,82175.14285714286,3168278.1428571427,43221791.71428572
2021-03-30,3256381.8571428573,5928.571428571428,7589.142857142857,74814.0,82403.14285714286,3173978.714285714,43215863.14285714
2021-03-31,3263529.5714285714,7147.714285714285,7594.857142857143,75059.0,82653.85714285714,3180875.714285714,43208715.428571425
2021-04-01,3269766.1428571427,6236.571428571428,7600.857142857143,75219.14285714286,82820.0,3186946.1428571427,43202478.85714286
2021-04-02,3274919.0,5152.857142857143,7607.0,75295.0,82902.0,3192017.0,43197326.0
2021-04-03,3281439.1428571427,6520.142857142857,7614.142857142857,75393.28571428571,83007.42857142857,3198431.714285714,43190805.85714286
2021-04-04,3287959.285714286,6520.142857142857,7621.714285714285,75491.57142857143,83113.28571428571,3204846.0,43184285.71428572
2021-04-05,3293745.0,5785.714285714285,7631.142857142857,75575.0,83206.14285714286,3210538.8571428573,43178500.0
2021-04-06,3299763.4285714286,6018.428571428572,7641.0,75661.57142857143,83302.57142857143,3216460.8571428573,43172481.571428575
2021-04-07,3305818.1428571427,6054.714285714285,7650.714285714285,75744.14285714286,83394.85714285714,3222423.285714286,43166426.85714286
2021-04-08,3312281.4285714286,6463.285714285715,7662.285714285715,75835.28571428571,83497.57142857143,3228783.8571428573,43159963.571428575
2021-04-09,3320298.285714286,8016.857142857143,7674.857142857143,75947.71428571429,83622.57142857143,3236675.714285714,43151946.71428572
2021-04-10,3326947.8571428573,6649.571428571428,7686.714285714285,76037.71428571429,83724.42857142857,3243223.4285714286,43145297.14285714
2021-04-11,3333597.4285714286,6649.571428571428,7699.857142857143,76127.71428571429,83827.57142857143,3249769.8571428573,43138647.571428575
2021-04-12,3342016.1428571427,8418.714285714286,7715.571428571428,76233.71428571429,83949.28571428571,3258066.8571428573,43130228.85714286
2021-04-13,3350387.5714285714,8371.42857142857,7733.0,76335.71428571429,84068.71428571429,3266318.8571428573,43121857.428571425
2021-04-14,3358999.8571428573,8612.285714285714,7752.285714285715,76438.42857142857,84190.71428571429,3274809.1428571427,43113245.14285714
2021-04-15,3367578.1428571427,8578.285714285714,7772.857142857143,76538.85714285714,84311.71428571429,3283266.4285714286,43104666.85714286
2021-04-16,3376116.8571428573,8538.714285714286,7791.571428571428,76632.14285714286,84423.71428571429,3291693.1428571427,43096128.14285714
2021-04-17,3384655.5714285714,8538.714285714286,7818.0,76725.42857142857,84543.42857142857,3300112.1428571427,43087589.428571425
2021-04-18,3393194.285714286,8538.714285714286,7846.571428571428,76818.71428571429,84665.28571428571,3308529.0,43079050.71428572
2021-04-19,3401494.0,8299.714285714286,7875.285714285715,76901.14285714286,84776.42857142857,3316717.5714285714,43070751.0
2021-04-20,3408894.8571428573,7400.857142857143,7903.428571428572,76969.28571428571,84872.71428571429,3324022.1428571427,43063350.14285714
2021-04-21,3417330.5714285714,8435.714285714286,7934.571428571428,77056.14285714286,84990.71428571429,3332339.8571428573,43054914.428571425
2021-04-22,3425930.714285714,8600.142857142857,7966.285714285715,77143.85714285714,85110.14285714286,3340820.5714285714,43046314.28571428
2021-04-23,3434692.714285714,8762.0,7998.0,77231.0,85229.0,3349463.714285714,43037552.28571428
2021-04-24,3443454.714285714,8762.0,8024.285714285715,77318.14285714286,85342.42857142857,3358112.285714286,43028790.28571428
2021-04-25,3452216.714285714,8762.0,8057.571428571428,77405.28571428571,85462.85714285714,3366753.8571428573,43020028.28571428
2021-04-26,3460804.5714285714,8587.857142857143,8093.571428571428,77496.14285714286,85589.71428571429,3375214.8571428573,43011440.428571425
2021-04-27,3470487.4285714286,9682.857142857143,8134.285714285715,77603.71428571429,85738.0,3384749.4285714286,43001757.571428575
2021-04-28,3478877.0,8389.57142857143,8179.285714285715,77686.42857142857,85865.71428571429,3393011.285714286,42993368.0
2021-04-29,3487170.714285714,8293.714285714286,8230.0,77769.85714285714,85999.85714285714,3401170.8571428573,42985074.28571428
2021-04-30,3495093.5714285714,7922.857142857143,8289.42857142857,77859.14285714286,86148.57142857143,3408945.0,42977151.428571425
2021-05-01,3503016.4285714286,7922.857142857143,8354.285714285714,77948.42857142857,86302.71428571429,3416713.714285714,42969228.571428575
2021-05-02,3510939.285714286,7922.857142857143,8420.0,78037.71428571429,86457.71428571429,3424481.5714285714,42961305.71428572
2021-05-03,3518362.285714286,7423.0,8492.142857142857,78117.0,86609.14285714286,3431753.1428571427,42953882.71428572
