date,Ic,Inew,R,D,R_4_SIR,I_4_SIR,S_4_SIR
2021-03-01,653038.5714285715,3734.714285714286,14676.285714285714,12801.142857142857,27477.428571428572,625561.1428571428,9653255.42857143
2021-03-02,656897.7142857143,3859.1428571428573,14732.42857142857,12825.285714285714,27557.714285714286,629340.0,9649396.285714285
2021-03-03,660872.2857142857,3974.5714285714284,14794.285714285714,12849.714285714286,27644.0,633228.2857142857,9645421.714285715
2021-03-04,664824.4285714285,3952.1428571428573,14856.57142857143,12875.285714285714,27731.85714285714,637092.5714285715,9641469.57142857
2021-03-05,668774.7142857143,3950.285714285714,14920.714285714286,12900.57142857143,27821.285714285714,640953.4285714285,9637519.285714285
2021-03-06,672725.0,3950.285714285714,14984.857142857143,12925.857142857143,27910.714285714286,644814.2857142857,9633569.0
2021-03-07,676675.2857142857,3950.285714285714,15041.857142857143,12951.142857142857,27993.0,648682.2857142857,9629618.714285715
2021-03-08,680625.5714285715,3950.285714285714,15052.714285714286,12976.42857142857,28029.14285714286,652596.4285714285,9625668.42857143
2021-03-09,684463.0,3837.4285714285716,15062.285714285714,12999.285714285714,28061.571428571428,656401.4285714285,9621831.0
2021-03-10,688263.0,3800.0,15068.857142857143,13017.0,28085.85714285714,660177.1428571428,9618031.0
2021-03-11,692129.0,3866.0,15075.0,13036.142857142857,28111.14285714286,664017.8571428572,9614165.0
2021-03-12,696067.0,3938.0,15079.285714285714,13056.57142857143,28135.85714285714,667931.1428571428,9610227.0
2021-03-13,700005.0,3938.0,15083.57142857143,13077.0,28160.571428571428,671844.4285714285,9606289.0
2021-03-14,703943.0,3938.0,15087.857142857143,13097.42857142857,28185.285714285714,675757.7142857143,9602351.0
2021-03-15,707881.0,3938.0,15092.714285714286,13117.857142857143,28210.571428571428,679670.4285714285,9598413.0
2021-03-16,712068.7142857143,4187.714285714285,15096.142857142857,13136.42857142857,28232.571428571428,683836.1428571428,9594225.285714285
2021-03-17,716379.8571428572,4311.142857142857,15096.714285714286,13156.42857142857,28253.14285714286,688126.7142857143,9589914.142857144
2021-03-18,720857.7142857143,4477.857142857143,15098.857142857143,13174.285714285714,28273.14285714286,692584.5714285715,9585436.285714285
2021-03-19,725392.7142857143,4535.0,15104.285714285714,13190.857142857143,28295.14285714286,697097.5714285715,9580901.285714285
2021-03-20,729927.7142857143,4535.0,15109.714285714286,13207.42857142857,28317.14285714286,701610.5714285715,9576366.285714285
2021-03-21,734462.7142857143,4535.0,15115.142857142857,13224.0,28339.14285714286,706123.5714285715,9571831.285714285
2021-03-22,738997.7142857143,4535.0,15120.0,13240.57142857143,28360.571428571428,710637.1428571428,9567296.285714285
2021-03-23,743718.5714285715,4720.857142857143,15125.714285714286,13261.0,28386.714285714286,715331.8571428572,9562575.42857143
2021-03-24,748563.4285714285,4844.857142857143,15131.42857142857,13279.42857142857,28410.85714285714,720152.5714285715,9557730.57142857
2021-03-25,753585.2857142857,5021.857142857143,15136.714285714286,13299.0,28435.714285714286,725149.5714285715,9552708.714285715
2021-03-26,758691.8571428572,5106.571428571428,18743.285714285714,13319.0,32062.285714285714,726629.5714285715,9547602.142857144
2021-03-27,763798.4285714285,5106.571428571428,22349.85714285714,13339.0,35688.857142857145,728109.5714285715,9542495.57142857
2021-03-28,768905.0,5106.571428571428,25962.571428571428,13359.0,39321.57142857143,729583.4285714285,9537389.0
2021-03-29,774011.5714285715,5106.571428571428,29579.0,13379.0,42958.0,731053.5714285715,9532282.42857143
2021-03-30,779455.8571428572,5444.285714285715,33194.57142857143,13395.42857142857,46590.0,732865.8571428572,9526838.142857144
2021-03-31,785013.2857142857,5557.428571428572,36810.28571428572,13410.857142857143,50221.142857142855,734792.1428571428,9521280.714285715
2021-04-01,790656.2857142857,5643.0,40425.28571428572,13428.714285714286,53854.0,736802.2857142857,9515637.714285715
2021-04-02,795395.2857142857,4739.0,40435.71428571428,13442.42857142857,53878.142857142855,741517.1428571428,9510898.714285715
2021-04-03,800134.2857142857,4739.0,40446.142857142855,13456.142857142857,53902.28571428572,746232.0,9506159.714285715
2021-04-04,804873.2857142857,4739.0,40450.42857142857,13469.857142857143,53920.28571428572,750953.0,9501420.714285715
2021-04-05,809612.2857142857,4739.0,40451.0,13483.57142857143,53934.57142857143,755677.7142857143,9496681.714285715
2021-04-06,815119.1428571428,5506.857142857143,40451.57142857143,13498.285714285714,53949.857142857145,761169.2857142857,9491174.857142856
2021-04-07,820393.5714285715,5274.428571428572,40485.28571428572,13514.42857142857,53999.71428571428,766393.8571428572,9485900.42857143
2021-04-08,825599.0,5205.428571428572,40518.57142857143,13528.285714285714,54046.857142857145,771552.1428571428,9480695.0
2021-04-09,831914.7142857143,6315.714285714285,40551.857142857145,13545.857142857143,54097.71428571428,777817.0,9474379.285714285
2021-04-10,838230.4285714285,6315.714285714285,40585.142857142855,13563.42857142857,54148.57142857143,784081.8571428572,9468063.57142857
2021-04-11,844546.1428571428,6315.714285714285,40618.42857142857,13581.0,54199.42857142857,790346.7142857143,9461747.857142856
2021-04-12,850861.8571428572,6315.714285714285,40665.142857142855,13598.57142857143,54263.71428571428,796598.1428571428,9455432.142857144
2021-04-13,856792.2857142857,5930.428571428572,40711.857142857145,13616.714285714286,54328.57142857143,802463.7142857143,9449501.714285715
2021-04-14,863017.7142857143,6225.428571428572,40725.28571428572,13637.0,54362.28571428572,808655.4285714285,9443276.285714285
2021-04-15,869139.2857142857,6121.571428571428,40755.71428571428,13660.714285714286,54416.42857142857,814722.8571428572,9437154.714285715
2021-04-16,875244.5714285715,6105.285714285715,40786.142857142855,13684.57142857143,54470.71428571428,820773.8571428572,9431049.42857143
2021-04-17,881349.8571428572,6105.285714285715,40816.57142857143,13708.42857142857,54525.0,826824.8571428572,9424944.142857144
2021-04-18,887455.1428571428,6105.285714285715,40847.0,13732.285714285714,54579.28571428572,832875.8571428572,9418838.857142856
2021-04-19,893560.4285714285,6105.285714285715,40864.0,13756.142857142857,54620.142857142855,838940.2857142857,9412733.57142857
2021-04-20,899321.0,5760.571428571428,40881.0,13779.714285714286,54660.71428571428,844660.2857142857,9406973.0
2021-04-21,904886.0,5565.0,40898.0,13800.142857142857,54698.142857142855,850187.8571428572,9401408.0
2021-04-22,910542.5714285715,5656.571428571428,40898.0,13817.42857142857,54715.42857142857,855827.1428571428,9395751.42857143
2021-04-23,916000.4285714285,5457.857142857143,40898.0,13836.714285714286,54734.71428571428,861265.7142857143,9390293.57142857
2021-04-24,921458.2857142857,5457.857142857143,40898.0,13856.0,54754.0,866704.2857142857,9384835.714285715
2021-04-25,926916.1428571428,5457.857142857143,40898.0,13875.285714285714,54773.28571428572,872142.8571428572,9379377.857142856
2021-04-26,932374.0,5457.857142857143,40898.0,13894.57142857143,54792.57142857143,877581.4285714285,9373920.0
2021-04-27,937577.4285714285,5203.428571428572,40898.0,13915.0,54813.0,882764.4285714285,9368716.57142857
2021-04-28,942746.0,5168.571428571428,40898.0,13934.57142857143,54832.57142857143,887913.4285714285,9363548.0
2021-04-29,947832.0,5086.0,40972.857142857145,13951.714285714286,54924.57142857143,892907.4285714285,9358462.0
2021-04-30,952869.2857142857,5037.285714285715,41047.71428571428,13969.57142857143,55017.28571428572,897852.0,9353424.714285715
2021-05-01,957906.5714285715,5037.285714285715,41122.57142857143,13987.42857142857,55110.0,902796.5714285715,9348387.42857143
2021-05-02,962943.8571428572,5037.285714285715,41197.42857142857,14005.285714285714,55202.71428571428,907741.1428571428,9343350.142857144
2021-05-03,967981.1428571428,5037.285714285715,41297.42857142857,14023.142857142857,55320.57142857143,912660.5714285715,9338312.857142856
2021-05-04,973024.0,5042.857142857143,41405.142857142855,14040.714285714286,55445.857142857145,917578.1428571428,9333270.0
2021-05-05,978034.7142857143,5010.714285714285,41512.857142857145,14062.285714285714,55575.142857142855,922459.5714285715,9328259.285714285
2021-05-06,982955.1428571428,4920.428571428572,41545.71428571428,14084.57142857143,55630.28571428572,927324.8571428572,9323338.857142856
2021-05-07,987839.1428571428,4884.0,41578.57142857143,14102.42857142857,55681.0,932158.1428571428,9318454.857142856
2021-05-08,992723.1428571428,4884.0,41650.28571428572,14120.285714285714,55770.57142857143,936952.5714285715,9313570.857142856
2021-05-09,997607.1428571428,4884.0,41722.0,14138.142857142857,55860.142857142855,941747.0,9308686.857142856
2021-05-10,1002491.1428571428,4884.0,41775.28571428572,14156.0,55931.28571428572,946559.8571428572,9303802.857142856
2021-05-11,1007212.5714285715,4721.428571428572,41820.857142857145,14174.0,55994.857142857145,951217.7142857143,9299081.42857143
2021-05-12,1011832.4285714285,4619.857142857143,41866.42857142857,14190.57142857143,56057.0,955775.4285714285,9294461.57142857
2021-05-13,1015520.0,3687.5714285714284,41912.0,14206.142857142857,56118.142857142855,959401.8571428572,9290774.0
2021-05-14,1019710.5714285715,4190.571428571428,41957.57142857143,14220.714285714286,56178.28571428572,963532.2857142857,9286583.42857143
2021-05-15,1023901.1428571428,4190.571428571428,41964.28571428572,14235.285714285714,56199.57142857143,967701.5714285715,9282392.857142856
2021-05-16,1028091.7142857143,4190.571428571428,41971.0,14249.857142857143,56220.857142857145,971870.8571428572,9278202.285714285
2021-05-17,1032282.2857142857,4190.571428571428,42036.42857142857,14264.42857142857,56300.857142857145,975981.4285714285,9274011.714285715
2021-05-18,1035930.7142857143,3648.4285714285716,42101.857142857145,14276.42857142857,56378.28571428572,979552.4285714285,9270363.285714285
2021-05-19,1039334.7142857143,3404.0,42167.28571428572,14288.142857142857,56455.42857142857,982879.2857142857,9266959.285714285
2021-05-20,1043226.0,3891.285714285714,42232.71428571428,14300.142857142857,56532.857142857145,986693.1428571428,9263068.0
2021-05-21,1046256.7142857143,3030.714285714286,42298.142857142855,14313.142857142857,56611.28571428572,989645.4285714285,9260037.285714285
2021-05-22,1049287.4285714286,3030.714285714286,42428.0,14326.142857142857,56754.142857142855,992533.2857142857,9257006.57142857
2021-05-23,1052318.142857143,3030.714285714286,42557.857142857145,14339.142857142857,56897.0,995421.1428571428,9253975.857142856
2021-05-24,1055348.857142857,3030.714285714286,42696.71428571428,14352.142857142857,57048.857142857145,998300.0,9250945.142857144
2021-05-25,1057810.5714285714,2461.714285714286,42835.57142857143,14365.714285714286,57201.28571428572,1000609.2857142857,9248483.42857143
2021-05-26,1060002.7142857143,2192.1428571428573,42974.42857142857,14378.142857142857,57352.57142857143,1002650.1428571428,9246291.285714285
2021-05-27,1061902.7142857143,1900.0,43113.28571428572,14392.42857142857,57505.71428571428,1004397.0,9244391.285714285
2021-05-28,1063350.142857143,1447.4285714285713,43252.142857142855,14404.57142857143,57656.71428571428,1005693.4285714285,9242943.857142856
2021-05-29,1064797.5714285714,1447.4285714285713,43326.57142857143,14416.714285714286,57743.28571428572,1007054.2857142857,9241496.42857143
2021-05-30,1066245.0,1447.4285714285713,43401.0,14428.857142857143,57829.857142857145,1008415.1428571428,9240049.0
2021-05-31,1067692.4285714286,1447.4285714285713,43401.0,14441.0,57842.0,1009850.4285714285,9238601.57142857
2021-06-01,1068277.857142857,585.4285714285714,43793.71428571428,14448.857142857143,58242.57142857143,1010035.2857142857,9238016.142857144
2021-06-02,1068473.0,195.14285714285714,44186.42857142857,14451.0,58637.42857142857,1009835.5714285715,9237821.0
2021-06-03,1069690.142857143,1217.142857142857,44579.142857142855,14459.714285714286,59038.857142857145,1010651.2857142857,9236603.857142856
2021-06-04,1071060.0,1369.857142857143,45201.857142857145,14470.0,59671.857142857145,1011388.1428571428,9235234.0
2021-06-05,1072429.857142857,1369.857142857143,45824.57142857143,14480.285714285714,60304.857142857145,1012125.0,9233864.142857144
2021-06-06,1073799.7142857143,1369.857142857143,46447.28571428572,14490.57142857143,60937.857142857145,1012861.8571428572,9232494.285714285
2021-06-07,1075169.5714285714,1369.857142857143,47070.0,14500.857142857143,61570.857142857145,1013598.7142857143,9231124.42857143
2021-06-08,1076921.0,1751.4285714285713,47300.0,14514.42857142857,61814.42857142857,1015106.5714285715,9229373.0
2021-06-09,1078838.857142857,1917.857142857143,47530.0,14530.285714285714,62060.28571428572,1016778.5714285715,9227455.142857144
2021-06-10,1079658.2857142857,819.4285714285714,47760.0,14537.857142857143,62297.857142857145,1017360.4285714285,9226635.714285715
2021-06-11,1080428.857142857,770.5714285714286,47760.0,14545.142857142857,62305.142857142855,1018123.7142857143,9225865.142857144
2021-06-12,1081199.4285714286,770.5714285714286,47817.142857142855,14552.42857142857,62369.57142857143,1018829.8571428572,9225094.57142857
2021-06-13,1081970.0,770.5714285714286,47874.28571428572,14559.714285714286,62434.0,1019536.0,9224324.0
2021-06-14,1082740.5714285714,770.5714285714286,47977.142857142855,14567.0,62544.142857142855,1020196.4285714285,9223553.42857143
2021-06-15,1083298.142857143,557.5714285714286,48080.0,14571.0,62651.0,1020647.1428571428,9222995.857142856
2021-06-16,1083689.2857142857,391.14285714285717,48207.0,14572.714285714286,62779.71428571428,1020909.5714285715,9222604.714285715
2021-06-17,1083961.7142857143,272.42857142857144,48358.857142857145,14574.0,62932.857142857145,1021028.8571428572,9222332.285714285
2021-06-18,1084130.2857142857,168.57142857142858,48539.71428571428,14574.0,63113.71428571428,1021016.5714285715,9222163.714285715
2021-06-19,1084298.857142857,168.57142857142858,48706.42857142857,14574.0,63280.42857142857,1021018.4285714285,9221995.142857144
2021-06-20,1084467.4285714286,168.57142857142858,48902.42857142857,14574.0,63476.42857142857,1020991.0,9221826.57142857
2021-06-21,1084636.0,168.57142857142858,49090.142857142855,14574.0,63664.142857142855,1020971.8571428572,9221658.0
2021-06-22,1085118.5714285714,482.57142857142856,49319.42857142857,14578.857142857143,63898.28571428572,1021220.2857142857,9221175.42857143
2021-06-23,1085673.142857143,554.5714285714286,49524.57142857143,14584.857142857143,64109.42857142857,1021563.7142857143,9220620.857142856
2021-06-24,1086281.7142857143,608.5714285714286,49742.71428571428,14591.285714285714,64334.0,1021947.7142857143,9220012.285714285
2021-06-25,1086890.2857142857,608.5714285714286,49982.142857142855,14597.714285714286,64579.857142857145,1022310.4285714285,9219403.714285715
2021-06-26,1087498.857142857,608.5714285714286,50221.71428571428,14604.142857142857,64825.857142857145,1022673.0,9218795.142857144
2021-06-27,1088107.4285714286,608.5714285714286,50481.142857142855,14610.57142857143,65091.71428571428,1023015.7142857143,9218186.57142857
2021-06-28,1088716.0,608.5714285714286,50776.28571428572,14617.0,65393.28571428572,1023322.7142857143,9217578.0
2021-06-29,1088963.0,247.0,51104.42857142857,14619.57142857143,65724.0,1023239.0,9217331.0
2021-06-30,1089173.2857142857,210.28571428571428,51515.28571428572,14621.42857142857,66136.71428571429,1023036.5714285715,9217120.714285715
2021-07-01,1089410.0,236.71428571428572,51972.57142857143,14623.0,66595.57142857143,1022814.4285714285,9216884.0
