date,Ic,Inew,R,D,R_4_SIR,I_4_SIR,S_4_SIR
2021-03-01,554315.4285714285,1038.2857142857142,1205135.857142857,9999.57142857143,1215135.4285714286,-660820.0,8355569.571428572
2021-03-02,555353.5714285715,1038.142857142857,1208949.2857142857,10009.0,1218958.2857142857,-663604.7142857143,8354531.428571428
2021-03-03,556374.5714285715,1021.0,1213006.0,10018.0,1223024.0,-666649.4285714285,8353510.428571428
2021-03-04,557403.2857142857,1028.7142857142858,1217174.0,10025.857142857143,1227199.857142857,-669796.5714285715,8352481.714285715
2021-03-05,558454.4285714285,1051.142857142857,1221310.5714285714,10034.0,1231344.5714285714,-672890.1428571428,8351430.571428572
2021-03-06,559505.5714285715,1051.142857142857,1225225.142857143,10042.285714285714,1235267.4285714286,-675761.8571428572,8350379.428571428
2021-03-07,560556.7142857143,1051.142857142857,1229189.142857143,10050.57142857143,1239239.7142857143,-678683.0,8349328.285714285
2021-03-08,561634.1428571428,1077.4285714285713,1233147.4285714286,10058.57142857143,1243206.0,-681571.8571428572,8348250.857142857
2021-03-09,562747.0,1112.857142857143,1236477.0,10066.857142857143,1246543.857142857,-683796.8571428572,8347138.0
2021-03-10,563898.1428571428,1151.142857142857,1239886.4285714286,10075.714285714286,1249962.142857143,-686064.0,8345986.857142857
2021-03-11,565075.8571428572,1177.7142857142858,1243367.2857142857,10084.857142857143,1253452.142857143,-688376.2857142857,8344809.142857143
2021-03-12,566269.4285714285,1193.5714285714287,1246931.857142857,10093.57142857143,1257025.4285714286,-690756.0,8343615.571428572
2021-03-13,567463.0,1193.5714285714287,1250732.5714285714,10102.857142857143,1260835.4285714286,-693372.4285714285,8342422.0
2021-03-14,568656.5714285715,1193.5714285714287,1254619.857142857,10112.714285714286,1264732.5714285714,-696076.0,8341228.428571428
2021-03-15,569911.0,1254.4285714285713,1258758.7142857143,10122.57142857143,1268881.2857142857,-698970.2857142857,8339974.0
2021-03-16,571174.0,1263.0,1263654.142857143,10132.714285714286,1273786.857142857,-702612.8571428572,8338711.0
2021-03-17,572489.4285714285,1315.4285714285713,1268497.857142857,10142.714285714286,1278640.5714285714,-706151.1428571428,8337395.571428572
2021-03-18,573853.5714285715,1364.142857142857,1273487.5714285714,10152.42857142857,1283640.0,-709786.4285714285,8336031.428571428
2021-03-19,575277.0,1423.4285714285713,1278442.142857143,10162.285714285714,1288604.4285714286,-713327.4285714285,8334608.0
2021-03-20,576700.4285714285,1423.4285714285713,1283431.857142857,10171.285714285714,1293603.142857143,-716902.7142857143,8333184.571428572
2021-03-21,578123.8571428572,1423.4285714285713,1288579.0,10179.714285714286,1298758.7142857143,-720634.8571428572,8331761.142857143
2021-03-22,579614.8571428572,1491.0,1293656.0,10187.57142857143,1303843.5714285714,-724228.7142857143,8330270.142857143
2021-03-23,581163.8571428572,1549.0,1299029.142857143,10195.42857142857,1309224.5714285714,-728060.7142857143,8328721.142857143
2021-03-24,582736.2857142857,1572.4285714285713,1304708.2857142857,10203.142857142857,1314911.4285714286,-732175.1428571428,8327148.714285715
2021-03-25,584351.0,1614.7142857142858,1310424.5714285714,10211.714285714286,1320636.2857142857,-736285.2857142857,8325534.0
2021-03-26,586009.2857142857,1658.2857142857142,1316511.2857142857,10219.714285714286,1326731.0,-740721.7142857143,8323875.714285715
2021-03-27,587667.5714285715,1658.2857142857142,1322866.7142857143,10228.285714285714,1333095.0,-745427.4285714285,8322217.428571428
2021-03-28,589325.8571428572,1658.2857142857142,1329145.857142857,10237.142857142857,1339383.0,-750057.1428571428,8320559.142857143
2021-03-29,591117.0,1791.142857142857,1335406.2857142857,10246.285714285714,1345652.5714285714,-754535.5714285715,8318768.0
2021-03-30,592919.4285714285,1802.4285714285713,1340996.4285714286,10255.714285714286,1351252.142857143,-758332.7142857143,8316965.571428572
2021-03-31,594777.4285714285,1858.0,1346421.4285714286,10265.42857142857,1356686.857142857,-761909.4285714285,8315107.571428572
2021-04-01,596624.2857142857,1846.857142857143,1352261.142857143,10275.0,1362536.142857143,-765911.8571428572,8313260.714285715
2021-04-02,598499.2857142857,1875.0,1358558.7142857143,10284.714285714286,1368843.4285714286,-770344.1428571428,8311385.714285715
2021-04-03,600374.2857142857,1875.0,1365142.857142857,10294.42857142857,1375437.2857142857,-775063.0,8309510.714285715
2021-04-04,602249.2857142857,1875.0,1371913.5714285714,10304.0,1382217.5714285714,-779968.2857142857,8307635.714285715
2021-04-05,603471.0,1221.7142857142858,1378978.857142857,10315.42857142857,1389294.2857142857,-785823.2857142857,8306414.0
2021-04-06,605122.5714285715,1651.5714285714287,1386996.0,10326.857142857143,1397322.857142857,-792200.2857142857,8304762.428571428
2021-04-07,606758.4285714285,1635.857142857143,1395730.5714285714,10338.42857142857,1406069.0,-799310.5714285715,8303126.571428572
2021-04-08,608463.0,1704.5714285714287,1404514.4285714286,10349.142857142857,1414863.5714285714,-806400.5714285715,8301422.0
2021-04-09,610206.0,1743.0,1413422.857142857,10359.857142857143,1423782.7142857143,-813576.7142857143,8299679.0
2021-04-10,611949.0,1743.0,1422554.2857142857,10369.714285714286,1432924.0,-820975.0,8297936.0
2021-04-11,613692.0,1743.0,1431736.5714285714,10379.714285714286,1442116.2857142857,-828424.2857142857,8296193.0
2021-04-12,616232.5714285715,2540.5714285714284,1440977.7142857143,10387.57142857143,1451365.2857142857,-835132.7142857143,8293652.428571428
2021-04-13,618388.7142857143,2156.1428571428573,1450760.4285714286,10394.285714285714,1461154.7142857143,-842766.0,8291496.285714285
2021-04-14,620587.7142857143,2199.0,1460666.7142857143,10400.57142857143,1471067.2857142857,-850479.5714285715,8289297.285714285
2021-04-15,622754.8571428572,2167.1428571428573,1470733.5714285714,10406.57142857143,1481140.142857143,-858385.2857142857,8287130.142857143
2021-04-16,624877.1428571428,2122.285714285714,1480923.142857143,10412.714285714286,1491335.857142857,-866458.7142857143,8285007.857142857
2021-04-17,626999.4285714285,2122.285714285714,1490974.5714285714,10419.714285714286,1501394.2857142857,-874394.8571428572,8282885.571428572
2021-04-18,629121.7142857143,2122.285714285714,1501239.2857142857,10426.142857142857,1511665.4285714286,-882543.7142857143,8280763.285714285
2021-04-19,631147.1428571428,2025.4285714285713,1511537.4285714286,10433.57142857143,1521971.0,-890823.8571428572,8278737.857142857
2021-04-20,633158.2857142857,2011.142857142857,1521561.7142857143,10441.142857142857,1532002.857142857,-898844.5714285715,8276726.714285715
2021-04-21,635181.5714285715,2023.2857142857142,1531924.4285714286,10448.285714285714,1542372.7142857143,-907191.1428571428,8274703.428571428
2021-04-22,637210.4285714285,2028.857142857143,1543386.7142857143,10455.57142857143,1553842.2857142857,-916631.8571428572,8272674.571428572
2021-04-23,639226.1428571428,2015.7142857142858,1555837.4285714286,10464.0,1566301.4285714286,-927075.2857142857,8270658.857142857
2021-04-24,641241.8571428572,2015.7142857142858,1568851.857142857,10471.714285714286,1579323.5714285714,-938081.7142857143,8268643.142857143
2021-04-25,643257.5714285715,2015.7142857142858,1581874.7142857143,10480.0,1592354.7142857143,-949097.1428571428,8266627.428571428
2021-04-26,645331.5714285715,2074.0,1595084.0,10487.857142857143,1605571.857142857,-960240.2857142857,8264553.428571428
2021-04-27,647404.7142857143,2073.1428571428573,1609047.2857142857,10497.0,1619544.2857142857,-972139.5714285715,8262480.285714285
2021-04-28,649397.0,1992.2857142857142,1623778.7142857143,10506.285714285714,1634285.0,-984888.0,8260488.0
2021-04-29,651360.8571428572,1963.857142857143,1638455.142857143,10516.0,1648971.142857143,-997610.2857142857,8258524.142857143
2021-04-30,653284.4285714285,1923.5714285714287,1653307.0,10525.285714285714,1663832.2857142857,-1010547.8571428572,8256600.571428572
2021-05-01,655208.0,1923.5714285714287,1668346.857142857,10535.285714285714,1678882.142857143,-1023674.1428571428,8254677.0
2021-05-02,657131.5714285715,1923.5714285714287,1683276.142857143,10544.857142857143,1693821.0,-1036689.4285714285,8252753.428571428
2021-05-03,658864.4285714285,1732.857142857143,1698012.2857142857,10554.142857142857,1708566.4285714286,-1049702.0,8251020.571428572
2021-05-04,660525.5714285715,1661.142857142857,1711373.2857142857,10561.714285714286,1721935.0,-1061409.4285714286,8249359.428571428
2021-05-05,662140.2857142857,1614.7142857142858,1722964.857142857,10569.714285714286,1733534.5714285714,-1071394.2857142857,8247744.714285715
2021-05-06,663700.8571428572,1560.5714285714287,1733973.2857142857,10577.42857142857,1744550.7142857143,-1080849.857142857,8246184.142857143
2021-05-07,665220.7142857143,1519.857142857143,1744881.0,10585.0,1755466.0,-1090245.2857142857,8244664.285714285
2021-05-08,666740.5714285715,1519.857142857143,1756424.5714285714,10591.714285714286,1767016.2857142857,-1100275.7142857143,8243144.428571428
2021-05-09,668260.4285714285,1519.857142857143,1768459.4285714286,10598.42857142857,1779057.857142857,-1110797.4285714286,8241624.571428572
2021-05-10,669738.1428571428,1477.7142857142858,1780991.0,10604.57142857143,1791595.5714285714,-1121857.4285714286,8240146.857142857
2021-05-11,671179.0,1440.857142857143,1793632.7142857143,10610.714285714286,1804243.4285714286,-1133064.4285714286,8238706.0
2021-05-12,672583.2857142857,1404.2857142857142,1808011.7142857143,10615.714285714286,1818627.4285714286,-1146044.142857143,8237301.714285715
2021-05-13,673746.5714285715,1163.2857142857142,1823126.5714285714,10620.57142857143,1833747.142857143,-1160000.5714285714,8236138.428571428
2021-05-14,675017.5714285715,1271.0,1837744.0,10624.714285714286,1848368.7142857143,-1173351.142857143,8234867.428571428
2021-05-15,676288.5714285715,1271.0,1852029.857142857,10628.57142857143,1862658.4285714286,-1186369.857142857,8233596.428571428
2021-05-16,677559.5714285715,1271.0,1866127.142857143,10632.714285714286,1876759.857142857,-1199200.2857142857,8232325.428571428
2021-05-17,678683.0,1123.4285714285713,1879917.857142857,10636.857142857143,1890554.7142857143,-1211871.7142857143,8231202.0
2021-05-18,679787.1428571428,1104.142857142857,1895032.857142857,10641.0,1905673.857142857,-1225886.7142857143,8230097.857142857
2021-05-19,680893.4285714285,1106.2857142857142,1909766.5714285714,10645.57142857143,1920412.142857143,-1239518.7142857143,8228991.571428572
2021-05-20,682170.8571428572,1277.4285714285713,1924128.4285714286,10650.0,1934778.4285714286,-1252607.5714285714,8227714.142857143
2021-05-21,683119.7142857143,948.8571428571429,1938055.2857142857,10654.857142857143,1948710.142857143,-1265590.4285714286,8226765.285714285
2021-05-22,684240.1428571428,1120.4285714285713,1951347.7142857143,10660.857142857143,1962008.5714285714,-1277768.4285714286,8225644.857142857
2021-05-23,685360.5714285715,1120.4285714285713,1964785.4285714286,10666.142857142857,1975451.5714285714,-1290091.0,8224524.428571428
2021-05-24,686102.4285714285,741.8571428571429,1978239.7142857143,10671.57142857143,1988911.2857142857,-1302808.857142857,8223782.571428572
2021-05-25,687062.8571428572,960.4285714285714,1991656.2857142857,10677.0,2002333.2857142857,-1315270.4285714286,8222822.142857143
2021-05-26,687943.5714285715,880.7142857142857,2004756.4285714286,10681.714285714286,2015438.142857143,-1327494.5714285714,8221941.428571428
2021-05-27,688794.8571428572,851.2857142857143,2017856.142857143,10687.0,2028543.142857143,-1339748.2857142857,8221090.142857143
2021-05-28,689776.4285714285,981.5714285714286,2031005.142857143,10691.857142857143,2041697.0,-1351920.5714285714,8220108.571428572
2021-05-29,690586.4285714285,810.0,2043795.5714285714,10696.0,2054491.5714285714,-1363905.142857143,8219298.571428572
2021-05-30,691396.4285714285,810.0,2056129.5714285714,10699.714285714286,2066829.2857142857,-1375432.857142857,8218488.571428572
2021-05-31,692451.7142857143,1055.2857142857142,2068168.857142857,10703.142857142857,2078872.0,-1386420.2857142857,8217433.285714285
2021-06-01,693219.2857142857,767.5714285714286,2079431.5714285714,10706.0,2090137.5714285714,-1396918.2857142857,8216665.714285715
2021-06-02,693947.0,727.7142857142857,2089897.2857142857,10709.142857142857,2100606.4285714286,-1406659.4285714286,8215938.0
2021-06-03,694617.0,670.0,2099305.8571428573,10712.142857142857,2110018.0,-1415401.0,8215268.0
2021-06-04,695226.8571428572,609.8571428571429,2107993.1428571427,10715.142857142857,2118708.285714286,-1423481.4285714286,8214658.142857143
2021-06-05,695836.7142857143,609.8571428571429,2116413.1428571427,10717.714285714286,2127130.8571428573,-1431294.142857143,8214048.285714285
2021-06-06,696446.5714285715,609.8571428571429,2124664.0,10720.857142857143,2135384.8571428573,-1438938.2857142857,8213438.428571428
2021-06-07,696965.0,518.4285714285714,2132457.4285714286,10724.0,2143181.4285714286,-1446216.4285714286,8212920.0
2021-06-08,697436.7142857143,471.7142857142857,2139483.0,10727.714285714286,2150210.714285714,-1452774.0,8212448.285714285
